county,house_type,est_price,zipcode,lat,lng
Riverside ,1 bedroom,198465,92539,33.55055,-116.67362
Butte ,1 bedroom,209458,95938,39.624259,-121.79152
Trinity ,1 bedroom,172760,96093,40.734483,-122.93982
Plumas ,1 bedroom,103772,96122,39.801047,-120.48359
Calaveras ,1 bedroom,213973,95222,38.087437,-120.58072
Los Angeles ,1 bedroom,141870,93591,34.596742,-117.84467
Yuba ,1 bedroom,193888,95692,39.030716,-121.43497
Shasta ,1 bedroom,76578,96013,40.926289,-121.68452
Colusa ,1 bedroom,135068,95987,39.139543,-122.20563
Fresno ,1 bedroom,171109,93656,36.45185,-119.93651
San Bernardino ,1 bedroom,176300,92372,34.44654,-117.63411
Sonoma ,1 bedroom,825317,94951,38.314531,-122.66097
Calaveras ,1 bedroom,194750,95249,38.192823,-120.64285
Tulare ,1 bedroom,96616,93267,36.141864,-119.09411
San Bernardino ,1 bedroom,192100,92317,34.245607,-117.23
Los Angeles ,1 bedroom,677918,90067,34.056709,-118.41183
Lake ,1 bedroom,181748,95457,38.911393,-122.599
Tuolumne ,1 bedroom,200479,95379,37.957978,-120.2297
Tulare ,1 bedroom,117703,93270,35.94901,-119.03742
San Bernardino ,1 bedroom,155783,92256,34.066626,-116.55951
El Dorado ,1 bedroom,430184,95672,38.71203,-121.0023
San Diego ,1 bedroom,260841,92036,33.02757,-116.53109
Plumas ,1 bedroom,101871,96020,40.289788,-121.23263
Fresno ,1 bedroom,138514,93609,36.534599,-119.83592
Colusa ,1 bedroom,124139,95912,38.97159,-122.02725
San Mateo ,1 bedroom,957384,94018,37.510085,-122.473404
Napa ,1 bedroom,1081677,94599,38.403011,-122.36228
Placer ,1 bedroom,349105,96143,39.241961,-120.02809
San Diego ,1 bedroom,460786,92121,32.899996,-117.20722
Mendocino ,1 bedroom,409632,95445,38.813417,-123.55762
Riverside ,1 bedroom,386482,92590,33.479467,-117.20933
El Dorado ,1 bedroom,318617,95614,38.880294,-120.97426
Tehama ,1 bedroom,72237,96055,40.041399,-122.09793
Mendocino ,1 bedroom,576848,95460,39.311858,-123.79166
San Bernardino ,1 bedroom,226004,92352,34.25629,-117.19132
Sonoma ,1 bedroom,851194,95442,38.367948,-122.52468
San Joaquin ,1 bedroom,324830,95237,38.162818,-121.14855
Lake ,1 bedroom,168516,95461,38.791139,-122.61069
San Luis Obispo ,1 bedroom,349454,93451,35.818054,-120.63645
Madera ,1 bedroom,210957,93643,37.232047,-119.52006
Tulare ,1 bedroom,129117,93256,35.957119,-119.31287
El Dorado ,1 bedroom,254409,95684,38.60766,-120.5937
Riverside ,1 bedroom,215914,92536,33.485978,-116.82004
El Dorado ,1 bedroom,231241,95634,38.930207,-120.78557
Fresno ,1 bedroom,147525,93602,37.077273,-119.42982
Monterey ,1 bedroom,409047,95004,36.885056,-121.63082
Fresno ,1 bedroom,183260,93675,36.713181,-119.18327
Butte ,1 bedroom,200371,95969,39.750422,-121.61026
Los Angeles ,1 bedroom,538372,90704,33.368642,-118.40835
Kern ,1 bedroom,84813,93285,35.714118,-118.48416
Humboldt ,1 bedroom,165278,95562,40.494813,-124.11637
Humboldt ,1 bedroom,284402,95570,41.081726,-124.13112
Santa Clara ,1 bedroom,667517,95113,37.333941,-121.89154
San Diego ,1 bedroom,254442,91906,32.664307,-116.46513
Kern ,1 bedroom,34804,93523,35.044352,-117.8578
Yolo ,1 bedroom,328361,95627,38.744062,-121.99929
San Luis Obispo ,1 bedroom,434996,93453,35.323098,-120.08301
San Diego ,1 bedroom,264846,91980,32.588485,-116.63034
Tuolumne ,1 bedroom,208267,95310,38.060956,-120.39216
San Joaquin ,1 bedroom,275131,95231,37.882742,-121.27978
Tulare ,1 bedroom,224166,93271,36.431565,-118.86296
Tulare ,1 bedroom,132449,93235,36.387879,-119.21908
Lassen ,1 bedroom,131932,96114,40.295652,-120.51775
Humboldt ,1 bedroom,342206,95536,40.561448,-124.25781
Kings ,1 bedroom,94041,93202,36.311439,-119.70823
San Bernardino ,1 bedroom,120202,92285,34.31039,-116.45012
Napa ,1 bedroom,672425,94508,38.568307,-122.45084
El Dorado ,1 bedroom,280087,95633,38.839773,-120.82881
Humboldt ,1 bedroom,250508,95560,40.131417,-123.85855
Lake ,1 bedroom,243012,95485,39.172397,-122.90474
Stanislaus ,1 bedroom,160783,95328,37.5596,-120.9141
Butte ,1 bedroom,146090,95916,39.661519,-121.38193
Amador ,1 bedroom,192154,95669,38.480569,-120.86895
Los Angeles ,1 bedroom,624154,90021,34.029313,-118.24182
Placer ,1 bedroom,388508,95663,38.859227,-121.17565
Tuolumne ,1 bedroom,212748,95372,37.991855,-120.25829
San Bernardino ,1 bedroom,141891,92386,34.244448,-116.82962
Butte ,1 bedroom,130693,95917,39.413477,-121.71162
Lake ,1 bedroom,154124,95464,39.12558,-122.84653
Tehama ,1 bedroom,60112,96035,40.039257,-122.16555
Sonoma ,1 bedroom,677216,95465,38.409993,-122.98347
Mariposa ,1 bedroom,252209,95329,37.694235,-120.42421
Mendocino ,1 bedroom,306763,95454,39.745588,-123.5223
San Mateo ,1 bedroom,990617,94038,37.52489,-122.50991
San Mateo ,1 bedroom,1014906,94037,37.539839,-122.50819
Trinity ,1 bedroom,190002,96041,40.524496,-123.18307
Fresno ,1 bedroom,101429,93660,36.600172,-120.15338
San Diego ,1 bedroom,300335,92061,33.311881,-116.96499
Contra Costa ,1 bedroom,341204,94511,38.040395,-121.63852
Kern ,1 bedroom,79268,93527,35.734418,-117.89313
Siskiyou ,1 bedroom,117324,96025,41.221077,-122.28003
Fresno ,1 bedroom,155595,93242,36.43465,-119.71753
Plumas ,1 bedroom,202929,96103,39.779486,-120.64058
Los Angeles ,1 bedroom,231226,93532,34.676708,-118.45592
Kern ,1 bedroom,73823,93205,35.576134,-118.46745
Kern ,1 bedroom,166605,93222,34.850984,-119.16626
Sacramento ,1 bedroom,264274,95690,38.240477,-121.56507
Stanislaus ,1 bedroom,171425,95319,37.637531,-120.906593
Mariposa ,1 bedroom,140414,95311,37.74614,-120.15123
Siskiyou ,1 bedroom,162785,96032,41.615475,-122.87744
Kern ,1 bedroom,89926,93283,35.614134,-118.27824
Sonoma ,1 bedroom,532274,95441,38.710228,-122.95704
Yuba ,1 bedroom,284318,95918,39.282171,-121.34733
Calaveras ,1 bedroom,177538,95255,38.421689,-120.46947
Plumas ,1 bedroom,110491,95947,40.144573,-120.88311
Kern ,1 bedroom,162020,93238,35.784367,-118.43769
Los Angeles ,1 bedroom,367430,90058,34.000219,-118.22605
Mendocino ,1 bedroom,340113,95469,39.383027,-123.07856
Siskiyou ,1 bedroom,143962,96027,41.414707,-122.96832
Calaveras ,1 bedroom,202280,95246,38.26127,-120.50328
Riverside ,1 bedroom,179375,92230,33.911404,-116.76834
Sonoma ,1 bedroom,592312,94923,38.347701,-123.05869
Humboldt ,1 bedroom,210748,95573,40.945039,-123.65806
San Luis Obispo ,1 bedroom,326626,93426,35.834919,-120.98093
Fresno ,1 bedroom,149161,93626,37.024461,-119.68496
Butte ,1 bedroom,95495,95968,39.434644,-121.55043
Fresno ,1 bedroom,193933,93667,36.981035,-119.38254
San Bernardino ,1 bedroom,84190,92365,34.896333,-116.63644
Madera ,1 bedroom,206871,93601,37.388698,-119.72439
Humboldt ,1 bedroom,327793,95525,40.907437,-123.88348
Sonoma ,1 bedroom,483363,95416,38.463088,-122.989975
Nevada ,1 bedroom,251199,95960,39.396152,-121.08227
Merced ,1 bedroom,132702,95333,37.245423,-120.27116
Sonoma ,1 bedroom,667380,95452,38.414061,-122.54668
Kern ,1 bedroom,49591,93516,35.030694,-117.67264
Inyo ,1 bedroom,163403,93545,36.589514,-118.07367
Calaveras ,1 bedroom,157272,95245,38.300688,-120.62632
San Diego ,1 bedroom,233683,91962,32.773317,-116.49139
Placer ,1 bedroom,371545,96146,39.180983,-120.21804
Sacramento ,1 bedroom,358646,95638,38.317665,-121.16166
Nevada ,1 bedroom,283465,95975,39.224179,-121.14539
San Bernardino ,1 bedroom,82692,92242,34.137179,-114.35823
San Diego ,1 bedroom,267359,91916,32.890384,-116.62459
San Bernardino ,1 bedroom,164815,92391,34.839964,-115.967051
Los Angeles ,1 bedroom,165204,93553,34.487552,-117.89885
Placer ,1 bedroom,294184,95703,38.995732,-120.99703
San Luis Obispo ,1 bedroom,870765,93424,35.18554,-120.72583
Riverside ,1 bedroom,215495,92561,33.632049,-116.55878
Inyo ,1 bedroom,175752,93513,37.1363,-118.27335
Shasta ,1 bedroom,235819,96008,40.732501,-122.11264
Marin ,1 bedroom,758250,94956,38.081566,-122.81988
Modoc ,1 bedroom,47583,96134,41.874847,-121.43738
